Amstrad,,,,,,,,,,,,,
HW-ID,CR. No.,CPU,CODE NAME,PCB,Style,Change,Drive Vendor,HDD Size (GB),Quantity,Date of approval,Approval valid for : ,Manufacturer's ECO Ref,
4F0101,,TP2,,Two Layers,DRX100,,,,"135,000",Oct-98,Baseline  TP2 Completed Product,,
4F0201,,TP3,,Two Layers,DRX100,TP3 Product,,,"233,000",Apr-99,Baseline TP3 Completed Product,,
,,,,,DRX100,,,,,,,,
4F0202,,TP3,,Two Layers,DRX100,New Modulator,,,"33,000",Nov-99,Approval based on 4f0201,,
4F0203,,TP3,,Two Layers,DRX100,Barb and new bootloader,,,"107,000",Jan-00,Approval based on 4f0202,,
4F0204,,TP3,,Two Layers,DRX100,"New DAA, surge absorbers",,,"119,000",Mar-00,Approved based on 4f0202,,
4F0205,,TP3,, Two Layers,- DRX100,New Front Panel,,,"30,000",May-00,Approved  based on 4f0202,,
4F0206,,TP3,,Two Layers,DRX100,New Front Panel micro changed to mask type,,,"180,000",March,Approved  based on 4f0202,,
,,,,,,,,,,,,,
4F0301,,5512,,Two Layers,DRX200,,,,"250,000",21/08/2000,"Hardware signed off
Software signed off 
Product Approved",,
4F0302,,5512,,Two Layers,DRX200,New Rev E silicon,,,0,Nov-00,"Hardware signed off
Software signed off 
Product never shipped",,
4F0303,,5512,,Two Layers,DRX200,New NIM with Zero If ,,,"60,000",Apr-01,Product  approved,,
,,,,,,,,,,,,,
4F0401,,Conexant,,Two Layers,DRX250,New CPU New CPU: Conexant manufacturer: Samsung,,,0,,"Hardware signed off
Software not yet approved
Not yet approved
Product withdrawn.",,
4F0501,,Conexant CX22496,,Two Layers,DRX300,New CPU: Conexant manufacturer: Technisat,,,"237,160",05/10/2001,"Hardware signed off
Software signed off 
Product Approved",,
4F0502,"HW CR112201
and
HW CR112201",Conexant CX22496,,Two Layers,DRX300,"New flash supplier TC58FVB160-AFT-70 (Toshiba)
New Sdram supplier W986432DH-6 (Winbond)",,,,,"Piggy back of the previous Conexant platform
Hardware signed off 
Software On going
Product not approved 
Product withdrawn. ",,
,,,,,,,,,,,,,
4F0601,,Conexant CX22496,,,DRX400,Brand new cost down box,,,,19/08/2002,"Hardware Approved for production.
Software Signed off",,
4F0602,HWCR092602-1,Conexant CX22496,,,DRX400,Change of PCB soldermask to Green,,,,27/09/2002,Approved,,
4F0603,HWCR030402-1,Conexant CX22496,,,DRX400MKII,"Cost Down STB based on DRX400 with Waterproof modulator, new devices, TDA8004 & Conexant devices revision:- 22496 rev 17, 24108 rev 23, 24110 rev 12 ",,,,19/06/2003,"Hardware Approved for production.
Software Signed off ",,
,,,,,,,,,,,,,
4F0701,N/A,Conexant CX24152,,,DRX500,"Brand new cost down box. Conexant 'Brazos' CX24152-24G (with integrated Demod) chipset, Conexant V34 modem CX86500-26, Conexant CX24109-11 tuner, Macronix 2MB Flash MX29LV160 BGA package",,,100k,29/07/2005,"Hardware Approved for production.
Software Signed off ",,
,,,,,,,,,,,,,
4F0801,N/A,Conexant CX24152,,,DRX550,Brand new  cost down model employing common cosmetics.,,,,16/12/2005,Approved for production,,
4F0802,HWCR251105-2A,Conexant CX24152,,,DRX550,The same as 4F0801 employing virtually the same tuner crystal (10.111MHz) but with higher tolerance resulting in lower driver level dependency.,,,,22/12/2005,Signed off for production/service,TBA,
4F0803,HWCR150206-2,Conexant CX24152,,,DRX550,"The same as 4F0802 but RoHs Compliant.
Amstrad were required to make bootloader & EPG changes for signal strength calibration.  New bootloadere version implemented (55F308).",,,,24/07/2006,Hardware signed off                Software approved,,
4F0804,HWCR180806-1,Conexant CX24152,,,DRX550,The same as 4F0803 with revised PSU design incorporating new cap supplier Samwha & surge protection. This has been signed off on the basis they calibrate their EPG signal strength indicator to display correct values,,,c40K,13/10/2006,Approved for production,TBC,
4F0805,HWCR241006-1,Conexant CX24152,,,DRX550,The same as 4F0803  but with revised F' connector & modified back panel slot and revised PSU design incorporating new cap supplier Samwha & surge protection ,,,,20/10/2006,Approved for production/service,TBC,
4F0806,HWCR061206-1,Conexant CX24152,,,DRX550,Removal of HSDP port.  Changes include HSDP connector removal with 4 logic buffers and their associated resistors. 1 capacitor and Transistor to be removed.  Also 1 resistor to be fit.,,,,19/12/2006,Approved for production,TBD,
4F0807,HWCR002-2007,Conexant CX24152,,REV 2,DRX550S,Due to removal of HSDP Amstrad is introducing new PCB design includes fix for Zinwell LNB,,,,07/11/2007,Approved for production,n/a,
4F0808,HWCR002-2008,Conexant CX24152,,REV 2,DRX550S,The same as 4F0807 with new Hambung Mondex Card reader/interactive slot. The same as 4F0807 with reliability Improvements to SMPSU ,,,,28/02/2008,Approved for production,,
4F0809,HWCR005-2008,Conexant CX24152,,REV 2,DRX550S,The same as 4F0807 with reliability Improvements to SMPSU ,n/a,,,29/10/2008,Approved  for production,,
,,,,,,,,,,,,,
4F0809,TBC,Conexant CX24152,,REV 3,DRX550SL,The same as 4F0808 but compliant to new 1 watt off mode new low power directive. ,,,,,Product not approved and never shipped,,
4F080A,,Conexant CX24152,,REV 3,DRX550SL,As per 4F0809 but with minor component changes and metallic lid,,,91K,20/11/2009,Approved for production,,
4F080B,HWCR100119,Conexant CX24152,,REV 3,DRX550SL,The same as 4F080A but with flash die shrink changed,,,15K,26/01/2010,Approved for production,,
4F080C,HWCR100208,Conexant CX24152,,REV 3,DRX550SL,The same as 4F080B but with new SDRAM and new bootloader version 55F310,,,75K,19/02/2010,Approved for production,,
4F080D,HWCR100305,Conexant CX24152,,REV 3,DRX550SL,The same as 4F08C but with new Samsung RF modulator,,,60K,,Awaiting approval for production,,
4F0810,N/A,Conexant CX24152,,REV 7,DRX550SL MKII,The same as 4F080D but with AKM scart switch and Power Switch device (U1) revised.,N/A,,,,,,
,,,,,,,,,,,,,
4F7001,N/A,BCM7350VKFEBA2G,,Issue4,DRX595,The first baseline model HD Digibox,N/A,,,14/01/2011,MP Production started 14/1/2011,,
4F7002,N/A,BCM7350VKFEBA2G,,,DRX595,The same as 4F7001 but with a change of bootloader to V0.18,N/A,,,05/03/2011,Approved for production,,
4F7003,N/A,BCM7350VKFEBA2G,,,DRX595,Hardware ID incremented to demark production quantity,N/A,,,20/07/2011,Approved for production,,
4F7004,N/A,BCM7350VKFEBA2G,,,DRX595,Change to card door and front panel. ,N/A,,,20/10/2011,Approved for production,,
4F7005,N/A,BCM7350VKFEBA2G,,,DRX595,Hardware ID incremented to demark production quantity,N/A,,,21/03/2012,Approved for production,,
4F7006,N/A,BCM7350VKFEBA2G,,,DRX595,Low power (less than 0.5w) version of DRX595,N/A,,400K,07/09/2012,Approved for production,,
4F7007,N/A,BCM7350VKFEBA2G,,,DRX595,"Low power (less than 0.5w) version of DRX595
HWID increment for production batch size. Produced 400k with previous HWID.",N/A,,,14/01/2014,Approved for production,,
,,,,,,,,,,,,,
,"4F7019
Last HWID 
DRX595",BCM7350VKFEBA2G,,,DRX595,Last DRX595 HWID,N/A,,,19/12/2013,Placeholder,,
,,,,,,,,,,,,,
4F701A,"DRX595 Lite
4F701A to 4F704F",BCM7350VKFEBA2G,,,DRX595L,"DRX595 Lite
Same as 4F7006 with modem etc removed. See ECR 1290.",N/A,,,19/12/2013,Approved for  production,,
,,,,,,,,,,,,,
,"4F704F
Last HWID ",BCM7350VKFEBA2G,,,DRX595L,Last HWID DRX595 Lite,N/A,,,19/12/2013,Placeholder,,
,,,,,,,,,,,,,
4F7050,N/A,BCM7350VKFEBA2G,,,DRX595H,"Hotel version of the DRX595(4F7002), secured card door and mounting bracket",N/A,,,01/03/2012,Approved for production,,
4F7051,N/A,BCM7350VKFEBA2G,,,DRX595H,Low power version of the DRX595H,N/A,,,13/09/2012,Approved for production,,
,,,,,,,,,,,,,
,"4F7080
Last HWID 
DRX595H",BCM7350VKFEBA2G,,,DRX595H,Last HWID DRX595H ,N/A,,,19/12/2013,Placeholder,,
,,,,,,,,,,,,,
4F7081,"DRX595H Lite
4F7081 to 4F70FF",BCM7350VKFEBA2G,,,DRX595HL,"DRX595 Lite
Same as 4F7051 with modem etc removed. See ECR 1290.",N/A,,,19/12/2013,Approved for  production,,
,,,,,,,,,,,,,
,"4F70FF
Last HWID",BCM7350VKFEBA2G,,,DRX595HL,Last HWID DRX595H Lite,N/A,,,19/12/2013,Placeholder,,
,,,,,,,,,,,,,
4F2001,N/A,NEC EMMA2 Sky+,PVR2,,DRX180,Amstrad PVR baseline product.,Seagate C2,40,"180,000",27/02/2004,"Hardware signed off
Software signed off 
Approved for production",,
4F2002,ECN0087,NEC EMMA2 Sky+,PVR2,,DRX180,"New Bootloader (1.04) with improved speed and Booting.
No need to differentiate between 01 or 02's",Seagate C2,40,"120,000",27/02/2004,Approved for production,ECN0087,
